start	end
2018-07-21 11:08:00	2018-07-22 04:04:00
2018-07-24 10:21:45	2018-07-26 09:32:15
2018-07-26 19:47:45	2018-07-28 10:26:15
2018-07-29 02:43:00	2018-08-05 23:15:15
2018-08-06 00:01:15	2018-08-06 02:02:45
2018-08-06 12:41:45	2018-08-06 18:00:30
2018-08-06 18:38:45	2018-08-07 04:42:30
2018-08-08 00:12:45	2018-08-10 08:17:15
2018-08-11 12:23:15	2018-08-12 11:01:00
2018-08-15 18:50:00	2018-09-02 12:28:15
2018-09-04 16:17:45	2018-09-05 21:28:30
2018-09-06 17:28:30	2018-09-06 19:54:00
2018-09-06 22:28:30	2018-09-07 00:11:00
2018-09-07 01:34:30	2018-09-07 03:46:30
2018-09-07 13:57:15	2018-09-07 21:04:15
2018-09-08 03:49:30	2018-09-08 08:49:30
2018-09-08 18:29:00	2018-09-08 20:19:15
2018-09-09 02:41:00	2018-09-09 20:56:15
2018-09-10 04:16:00	2018-09-10 19:44:15
2018-09-11 05:17:30	2018-09-11 19:23:45
2018-09-12 05:38:15	2018-09-12 19:10:00
2018-09-13 04:49:15	2018-09-13 18:48:45
2018-09-14 02:30:00	2018-09-14 18:51:30
2018-09-15 04:57:45	2018-09-15 18:34:45
2018-09-16 02:39:00	2018-09-16 05:39:00
2018-09-16 06:21:45	2018-09-16 07:47:45
2018-09-16 08:21:15	2018-09-16 18:36:15
2018-09-16 20:33:45	2018-09-16 20:48:30
2018-09-17 01:55:15	2018-09-17 08:20:00
2018-09-17 09:01:00	2018-09-17 09:14:00
2018-09-18 03:41:30	2018-09-18 11:06:00
2018-10-04 10:55:00	2018-10-04 11:04:30
