time_sec,vel_detrended
1263980055.0,-19.31905742164645
1263982755.0,-18.994020170085435
1263985455.0,-20.27971933534252
1263988155.0,-19.484447714888233
1263990855.0,-21.00340419944456
1263993555.0,-21.805090585943276
1263996255.0,-23.323133313767528
1263998955.0,-23.341336338012752
1264001655.0,-23.528094268148095
1264004355.0,-23.58171050545633
1264007055.0,-23.034859477097598
1264009755.0,-24.083764361384
1264012455.0,-23.351691680583315
1264015155.0,-23.017156249353036
1264017855.0,-23.08161405331998
1264020555.0,-23.07190961172205
1264023255.0,-23.607950615593836
1264025955.0,-11.33605089881803
1264028655.0,-9.528809202537673
1264031355.0,-9.465091953668718
1264034055.0,-9.813341102042955
1264036755.0,-8.298314278867451
1264039455.0,-8.750390644722415
1264042155.0,-8.649539496030343
1264044855.0,-8.880186131663208
1264047555.0,-8.306692862845011
1264050255.0,-17.990011805748907
1264052955.0,-24.53231749281491
1264055655.0,-25.264868832904085
1264058355.0,-25.458087245804222
1264061055.0,-25.035451668893472
1264063755.0,-21.219850334345722
1264066455.0,-14.616219045475304
1264069155.0,-13.930366801930745
1264071855.0,-14.150574154238655
1264074555.0,-14.428947214697075
1264077255.0,-12.723092182129903
1264079955.0,-12.912646533009024
1264082655.0,-13.497509341064585
1264085355.0,-12.606402307799442
1264088055.0,-12.955363910949188
1264090755.0,-12.503856524118646
1264093455.0,-13.195857447517994
1264096155.0,-13.634244252673
1264098855.0,-13.317994644448447
1264101555.0,-13.278270178594767
1264104255.0,-13.743599527911783
1264106955.0,-13.736922428576747
1264109655.0,-13.496694653093755
1264112355.0,-2.6129597218828735
1264115055.0,-0.014940589493278367
1264117755.0,0.20087832130980132
1264120455.0,0.4393810209740536
1264123155.0,1.1297376335612057
1264125855.0,0.7925974896165258
1264128555.0,-0.12869209722038022
1264131255.0,0.6278883383317861
1264133955.0,-7.847561206368198
1264136655.0,-14.49984116458387
1264139355.0,-15.431949817897191
1264142055.0,-16.55571396757034
1264144755.0,-16.37661533899717
1264147455.0,-16.630734862137047
1264150155.0,-14.194039148177069
1264152855.0,-5.5882337670625475
1264155555.0,-4.950689122956476
1264158255.0,-4.3713637084734955
1264160955.0,-3.6281460198790114
1264163655.0,-3.9023250133535043
1264166355.0,-3.441646630891455
1264169055.0,-3.7723266745794604
1264171755.0,-3.2091488616092647
1264174455.0,-3.652273376227811
1264177155.0,-3.3066149723937315
1264179855.0,-3.541337767271557
1264182555.0,-3.491759651500047
1264185255.0,-3.6395926067871187
1264187955.0,-4.213904830920512
1264190655.0,-4.339190872389111
1264193355.0,-4.077923652921527
1264196055.0,-3.3228859188929505
1264198755.0,-3.954661605268484
1264201455.0,-5.649078081155778
1264204155.0,-5.538656965696134
1264206855.0,-4.995355576876648
1264209555.0,-6.4221697237685476
1264212255.0,-6.171075888931682
1264214955.0,-6.604033536976942
1264217655.0,-6.375574407945123
1264220355.0,-7.271969034678818
1264223055.0,-6.556761410324839
1264225755.0,-6.6306346038862785
1264228455.0,-5.523951011377505
1264231155.0,-6.444478457148421
1264233855.0,-6.053269871645625
1264236555.0,-13.133718639246126
1264239255.0,-7.215509081307346
1264241955.0,-6.553426725070437
1264244655.0,-5.902663660761448
1264247355.0,-6.293322668373378
1264250055.0,-6.728381528859529
1264252755.0,-6.225624480009401
1264255455.0,-5.967372066699454
1264258155.0,-5.612374753531071
1264260855.0,-6.179719169262796
1264263555.0,-5.588419748173067
1264266255.0,-6.092026872970905
1264268955.0,-6.1484879673411115
1264271655.0,-6.925748008770711
1264274355.0,-7.190389849422104
1264277055.0,-6.273084013463631
1264279755.0,-6.730927793985131
1264282455.0,-5.905878712891763
1264285155.0,-19.0166535204051
1264287855.0,-20.027816017476027
1264290555.0,-8.474980921305416
1264293255.0,-6.9256798634487495
1264295955.0,-7.689631553742686
1264298655.0,-6.286155504412591
1264301355.0,-6.284659052605718
1264304055.0,-5.241015549925976
1264306755.0,-6.003296185162355
1264309455.0,-6.498741924097942
1264312155.0,-5.67773745674873
1264314855.0,-5.307336153662504
1264317555.0,-6.419900972606172
1264320255.0,-6.980631319673137
1264322955.0,-10.210332122044974
1264325655.0,-11.520460004855522
1264328355.0,-6.050731361079784
1264331055.0,-5.988411467156652
1264333755.0,-5.9921429229476075
1264336455.0,-5.590570321624057
1264339155.0,-5.46297744635342
1264341855.0,-5.060067642227239
1264344555.0,-4.629669004235552
1264347255.0,-6.169518445838833
1264349955.0,-5.220799438539984
1264352655.0,-5.887063294375025
1264355355.0,-5.316398823604516
1264358055.0,-6.1036949461924905
1264360755.0,-6.080250455627549
1264363455.0,-5.492057939053211
1264366155.0,-6.473677814481391
1264368855.0,-5.83113723051639
1264371555.0,-16.78785203933012
1264374255.0,-19.694651946969145
1264376955.0,-19.935891610021542
1264379655.0,-8.728569358840844
1264382355.0,-5.976739898754943
1264385055.0,-4.956980706218019
1264387755.0,-5.103851428505948
1264390455.0,-4.2542384963823565
1264393155.0,-4.7947269682065325
1264395855.0,-4.47499924035759
1264398555.0,-5.354484953492715
1264401255.0,-4.916900755748145
1264403955.0,-5.1346071118466625
1264406655.0,-5.532164595708423
1264409355.0,-7.4853639523004745
1264412055.0,-15.070910345032416
1264414755.0,-5.4843229968892615
1264417455.0,-5.724815250755682
1264420155.0,-5.755063200707184
1264422855.0,-3.709057524990726
1264425555.0,-4.104816904687993
1264428255.0,-4.095490977347083
1264430955.0,-4.759029458765156
1264433655.0,-4.8804351135014485
1264436355.0,-4.539981322305778
1264439055.0,-4.374564399457199
1264441755.0,-4.585751226777688
1264444455.0,-4.471318929111476
1264447155.0,-4.481058343858649
1264449855.0,-4.164891981690346
1264452555.0,-4.525923829301746
1264455255.0,-4.67356329990821
1264457955.0,-4.367322422049199
1264460655.0,-16.954890193492076
1264463355.0,-18.965686875269114
1264466055.0,-19.06589026912718
1264468755.0,-18.468526632356088
1264471455.0,-9.776909505342019
1264474155.0,-4.282609727275485
1264476855.0,-4.074498715529501
1264479555.0,-3.583560388491776
1264482255.0,-3.571720743201354
1264484955.0,-3.499211359026617
1264487655.0,-3.665120384905663
1264490355.0,-3.055341255677945
1264493055.0,-3.5364050679305024
1264495755.0,-3.557130432909446
1264498455.0,-13.588069120374769
1264501155.0,-14.642471892386027
1264503855.0,-14.45627659044385
1264506555.0,-15.643594777962505
1264509255.0,-14.790264093300891
1264511955.0,-14.360543739362356
1264514655.0,-15.280258661105961
1264517355.0,-15.124078000979637
1264520055.0,-15.292089260238185
1264522755.0,-15.502763105528231
1264525455.0,-15.594615533820388
1264528155.0,-15.336046446196747
1264530855.0,-14.59504108634053
1264533555.0,-14.41550506003523
1264536255.0,-15.495335554254268
1264538955.0,-15.448467822418252
1264541655.0,-15.625323362088352
1264544355.0,-14.69270637227828
1264547055.0,-15.894149157085053
1264549755.0,-27.73325102344458
1264552455.0,-28.69621035672745
1264555155.0,-29.960404414818157
1264557855.0,-30.77300495107926
1264560555.0,-30.262334071325768
1264563255.0,-14.70361822221065
1264565955.0,-12.285109218644664
1264568655.0,-11.241345242340799
1264571355.0,-10.921488773787075
1264574055.0,-10.195440987367135
1264576755.0,-10.550273340892147
1264579455.0,-9.887001772014969
1264582155.0,-10.779061254707699
1264584855.0,-15.784701985791628
1264587555.0,-21.698454456436764
1264590255.0,-21.490017498802104
1264592955.0,-12.14538746651283
1264595655.0,-10.473356663188952
1264598355.0,-9.414097460951439
1264601055.0,-10.07858277625678
1264603755.0,-9.179390918873423
1264606455.0,-9.205915864762687
1264609155.0,-10.047902138082748
1264611855.0,-9.357105542515797
1264614555.0,-9.07486914737268
1264617255.0,-9.190678917104833
1264619955.0,-8.173931048155794
1264622655.0,-8.712149617634452
1264625355.0,-7.603259158540709
1264628055.0,-8.071027618466587
1264630755.0,-8.753808620289647
1264633455.0,-8.002994233436482
1264636155.0,-7.947222054534734
1264638855.0,-20.015924595044282
1264641555.0,-22.88772535053471
1264644255.0,-24.473716455053193
1264646955.0,-24.56474375435897
1264649655.0,-12.518386673732607
1264652355.0,-8.606267829524597
1264655055.0,-8.740955890568728
1264657755.0,-9.10638596976736
1264660455.0,-7.818951101037385
1264663155.0,-8.210333183700982
1264665855.0,-7.761564723902097
1264668555.0,-9.05203778267554
1264671255.0,-9.132672594834958
1264673955.0,-18.688061197281456
1264676655.0,-19.93052479404622
1264679355.0,-19.789617596841197
1264682055.0,-8.883447552937128
1264684755.0,-7.299436749958829
1264687455.0,-7.8960637954096455
1264690155.0,-7.646813415970826
1264692855.0,-7.806254920312028
1264695555.0,-7.660241676258067
1264698255.0,-7.272212798819112
1264700955.0,-6.385139937425095
1264703655.0,-6.762496658819941
1264706355.0,-6.2864012978854475
1264709055.0,-6.268510751470103
1264711755.0,-6.048781172143265
1264714455.0,-5.843567763608917
1264717155.0,-5.992825269678349
1264719855.0,-5.694721292236011
1264722555.0,-5.526935568577471
1264725255.0,-6.329616285814325
1264727955.0,-6.05529521125851
1264730655.0,-14.620998298662869
1264733355.0,-20.5363550743744
1264736055.0,-20.801994233279743
1264738755.0,-12.983853397012751
1264741455.0,-7.680339314933349
1264744155.0,-6.365767364973976
1264746855.0,-6.159075680157571
1264749555.0,-6.6982903363064565
1264752255.0,-6.5640547614251545
1264754955.0,-7.152053033341929
1264757655.0,-7.692536815343942
1264760355.0,-8.14055757279715
1264763055.0,-8.707020481001166
1264765755.0,-7.590362278431087
1264768455.0,-4.346357802554337
1264771155.0,3.958134061709927
1264773855.0,4.498211660712968
1264776555.0,5.329949744863313
1264779255.0,5.3804239246260295
1264781955.0,6.3391364039544555
1264784655.0,5.61093474413542
1264787355.0,6.712698284310079
1264790055.0,6.076721257585859
1264792755.0,6.56130941503028
1264795455.0,8.001707534307513
1264798155.0,7.839179190666016
1264800855.0,7.727813098133254
1264803555.0,7.606750014495219
1264806255.0,7.555787527416271
1264808955.0,7.089775455250447
1264811655.0,6.224458885222134
1264814355.0,7.866569936018266
1264817055.0,8.14984294841463
1264819755.0,7.3497045117172775
1264822455.0,-8.417046572668426
1264825155.0,-10.519713358408751
1264827855.0,-11.272566397846902
1264830555.0,-12.278813804058757
1264833255.0,-13.01382943378519
1264835955.0,-12.192406058416111
1264838655.0,-3.4292970034690597
1264841355.0,2.9052309575833988
1264844055.0,3.1465391800720113
1264846755.0,2.946215504435486
1264849455.0,2.3767690540537387
1264852155.0,-6.772989033514364
1264854855.0,-9.378319291573519
1264857555.0,-9.747921157682981
1264860255.0,-9.562012803113532
1264862955.0,-9.772603863514064
1264865655.0,-9.324871220738771
1264868355.0,-9.059122522624534
1264871055.0,-9.990636205748046
1264873755.0,-9.12495342398546
1264876455.0,-9.472392670620252
1264879155.0,-9.19592881267414
1264881855.0,-9.444161147245097
1264884555.0,-9.620527712279284
1264887255.0,-9.105653727165361
1264889955.0,-8.615158048089654
1264892655.0,-8.986722648283944
1264895355.0,-9.568824504350061
1264898055.0,-9.326927328514557
1264900755.0,5.0848744500083285
1264903455.0,6.092955300930839
1264906155.0,6.904382732526585
1264908855.0,-4.755501943562024
1264911555.0,-8.43592668703991
1264914255.0,-9.168420068265505
1264916955.0,-8.782562522061028
1264919655.0,-9.166311571991002
1264922355.0,-8.565777033728125
1264925055.0,-8.572583656200038
1264927755.0,-7.980109205635529
1264930455.0,-7.717995226385199
1264933155.0,-8.891307654046614
1264935855.0,1.1915644227602797
1264938555.0,2.963893832361123
1264941255.0,-8.836349843245387
1264943955.0,-9.712424793618652
1264946655.0,-8.414103325710869
1264949355.0,-8.078234265153128
1264952055.0,-8.14629039278185
1264954755.0,-8.1532454533654
1264957455.0,-8.724947787653036
1264960155.0,-9.008058312065089
1264962855.0,-9.497693227873015
1264965555.0,-9.657242881443665
1264968255.0,-9.664124669292107
1264970955.0,-10.104575532353692
1264973655.0,-9.861730880864513
1264976355.0,-9.141566316650483
1264979055.0,-9.796114420853996
1264981755.0,-1.0493510720953623
1264984455.0,4.184827861653616
1264987155.0,4.084458071841027
1264989855.0,3.838353412935021
1264992555.0,3.299174851351154
1264995255.0,4.340438136217642
1264997955.0,-3.5383645595971984
1265000655.0,-10.254779982982825
1265003355.0,-10.960112528533728
1265006055.0,-11.562643132160588
1265008755.0,-13.001206329506317
1265011455.0,-11.536138502312042
1265014155.0,-11.595972566364196
1265016855.0,-11.345833544181858
1265019555.0,-11.442819910411401
1265022255.0,-10.716648428752023
1265024955.0,-11.652144122469792
1265027655.0,-3.234509672109823
1265030355.0,-9.713008767339034
1265033055.0,-10.075151257869607
1265035755.0,-10.982130078588341
1265038455.0,-10.024747525268367
1265041155.0,-10.538495488353703
1265043855.0,-10.403457391609606
1265046555.0,-10.556713434666563
1265049255.0,-10.316887930290932
1265051955.0,-10.601849714339892
1265054655.0,-11.030832677050512
1265057355.0,-11.219444620533352
1265060055.0,-10.898930632495535
1265062755.0,-10.569527657482865
1265065455.0,-11.076002696320359
1265068155.0,-10.447935504797272
1265070855.0,-10.510016845484813
1265073555.0,-0.024765693664448918
1265076255.0,1.1985228320952501
1265078955.0,2.010130866982138
1265081655.0,2.870971453627533
1265084355.0,2.8485988975796204
1265087055.0,1.3853858529861327
1265089755.0,2.157128235297023
1265092455.0,3.108717929119905
1265095155.0,2.7617362826533167
1265097855.0,-6.420164569448275
1265100555.0,-13.436971198139986
1265103255.0,-13.401175627414318
1265105955.0,-13.300813320022428
1265108655.0,-13.383867812572475
1265111355.0,-13.557176689816743
1265114055.0,-14.653981292030608
1265116755.0,-15.648834422381412
1265119455.0,-16.724556580711237
1265122155.0,-16.20017331688956
1265124855.0,-4.579100630445851
1265127555.0,-2.6849040429988236
1265130255.0,-2.0396893481331517
