time_sec,vel_detrended
1265794455.0,-13.33251931401901
1265797155.0,-13.388560249384795
1265799855.0,-13.441576014892348
1265802555.0,-13.60137598702471
1265805255.0,-13.659448229343468
1265807955.0,-13.643809496049869
1265810655.0,-13.74061962638848
1265813355.0,-13.68149016491867
1265816055.0,-13.651854313086062
1265818755.0,-13.623129314884409
1265821455.0,-13.609832371604796
1265824155.0,-13.645433531407548
1265826855.0,-13.666449826335509
1265829555.0,-13.687137180528396
1265832255.0,-13.652558153402595
1265834955.0,-13.695233903339044
1265837655.0,-13.768611013290524
1265840355.0,-13.756465180070052
1265843055.0,-13.7788513525594
1265845755.0,-12.871145159716207
1265848455.0,-12.646427394483396
1265851155.0,-12.566242518508489
1265853855.0,-12.57158523710791
1265856555.0,-12.450593916318041
1265859255.0,-12.458210983701179
1265861955.0,-12.3502355493805
1265864655.0,-13.018267392378789
1265867355.0,-13.37690074247746
1265870055.0,-13.401848954965487
1265872755.0,-13.51694463403544
1265875455.0,-13.453895295002496
1265878155.0,-13.56317526308311
1265880855.0,-13.605414648654062
1265883555.0,-13.64301625189671
1265886255.0,-13.656135260899532
1265888955.0,-13.761391796932571
1265891655.0,-13.772977510985243
1265894355.0,-13.749204895371918
1265897055.0,-13.75237947757239
1265899755.0,-13.64952102894938
1265902455.0,-13.654762376727604
1265905155.0,-13.585891480768169
1265907855.0,-13.602509551331877
1265910555.0,-13.580203278485328
1265913255.0,-13.66436644459327
1265915955.0,-13.651467830089075
1265918655.0,-13.682697695934849
1265921355.0,-13.668567104594388
1265924055.0,-12.65109575592345
1265926755.0,-12.556131724554973
1265929455.0,-12.531665565674416
1265932155.0,-12.517363264361961
1265934855.0,-12.519739228283072
1265937555.0,-12.425082775934527
1265940255.0,-12.451700425879665
1265942955.0,-12.409539163957504
1265945655.0,-12.372773382383286
1265948355.0,-12.945434362128935
1265951055.0,-13.33119110539809
1265953755.0,-13.38477731255631
1265956455.0,-13.480028057550555
1265959155.0,-13.425824602941873
1265961855.0,-13.44839117257294
1265964555.0,-13.03150675307586
1265967255.0,-12.738014266167681
1265969955.0,-12.736213649942101
1265972655.0,-12.712904582903946
1265975355.0,-12.799373247368067
1265978055.0,-12.678240545609924
1265980755.0,-12.634399181324625
1265983455.0,-12.699863217328357
1265986155.0,-12.693208371941864
1265988855.0,-12.74628341058849
1265991555.0,-12.589008707991752
1265994255.0,-12.618957622335529
1265996955.0,-12.573469182857252
1265999655.0,-12.606695993263656
1266002355.0,-12.602596023890726
1266005055.0,-12.633953215840279
1266007755.0,-12.620329445144648
1266010455.0,-12.637816289696275
1266013155.0,-11.827317436037447
1266015855.0,-12.719042691169705
1266018555.0,-12.803190946541974
1266021255.0,-12.778163125697745
1266023955.0,-12.816806780333764
1266026655.0,-12.794399091206003
1266029355.0,-12.80204772071454
1266032055.0,-12.731718198812587
1266034755.0,-12.73284950847733
1266037455.0,-12.790379368287859
1266040155.0,-12.695964052734553
1266042855.0,-12.658017880551085
1266045555.0,-12.699662049656638
1266048255.0,-12.688555308381922
1266050955.0,-12.689865214869656
1266053655.0,-12.746319550771602
1266056355.0,-12.820348530256638
1266059055.0,-12.788921776888287
1266061755.0,-12.938795040015862
1266064455.0,-12.88157157356244
1266067155.0,-12.769276836549011
1266069855.0,-12.808440639672824
1266072555.0,-12.737764197453203
1266075255.0,-12.709607956665252
1266077955.0,-12.627777489540904
1266080655.0,-12.67343308999068
1266083355.0,-12.656634145165924
1266086055.0,-12.660314315391872
1266088755.0,-12.734095899510862
1266091455.0,-12.677811424368372
1266094155.0,-12.698409016113544
1266096855.0,-12.732703495132
1266099555.0,-12.746787300460994
1266102255.0,-12.79309664430616
1266104955.0,-12.76643074883259
1266107655.0,-12.777426886792455
1266110355.0,-12.887611917641436
1266113055.0,-12.838127747340423
1266115755.0,-12.779807285502386
1266118455.0,-12.709370828416127
1266121155.0,-12.698741950542683
1266123855.0,-12.713346440761939
1266126555.0,-12.67534840815813
1266129255.0,-12.674584785981779
1266131955.0,-12.687127728783878
1266134655.0,-12.028782111369765
1266137355.0,-12.227149692010926
1266140055.0,-12.64734451598548
1266142755.0,-12.746593437788476
1266145455.0,-12.73717758353905
1266148155.0,-12.806642450580966
1266150855.0,-12.845534587282202
1266153555.0,-12.80389069737521
1266156255.0,-12.77765897334831
1266158955.0,-12.750476399861725
1266161655.0,-12.787753713968641
1266164355.0,-12.725575066315173
1266167055.0,-12.698930919607449
1266169755.0,-12.640051200345681
1266172455.0,-12.753280169898915
1266175155.0,-12.697365746438265
1266177855.0,-12.712511753031208
1266180555.0,-12.737865216674379
1266183255.0,-12.723451684858844
1266185955.0,-12.764491300724785
1266188655.0,-12.804521769132975
1266191355.0,-12.74655605229566
1266194055.0,-12.780599078662533
1266196755.0,-12.780075808624247
1266199455.0,-12.769771459056528
1266202155.0,-12.687659923663034
1266204855.0,-12.650890592167116
1266207555.0,-12.673385497285835
1266210255.0,-12.64367091061797
1266212955.0,-12.624255414339132
1266215655.0,-12.614821112659001
1266218355.0,-12.624389584800781
1266221055.0,-12.094840528861312
1266223755.0,-12.06102715095858
1266226455.0,-12.614489819987455
1266229155.0,-12.639759227660477
1266231855.0,-12.69275029593399
1266234555.0,-12.796429336294125
1266237255.0,-12.72953896030117
1266239955.0,-12.71340465467921
1266242655.0,-12.696589902096036
1266245355.0,-12.699074193567867
1266248055.0,-12.696643591173654
1266250755.0,-12.632819220657495
1266253455.0,-12.588012961173945
1266256155.0,-12.60299775699599
1266258855.0,-12.641183466311418
1266261555.0,-12.59846633423632
1266264255.0,-12.616558117486818
1266266955.0,-12.67524279159187
1266269655.0,-12.696148928256946
1266272355.0,-12.684255238824221
1266275055.0,-12.681300263632409
1266277755.0,-12.726832737899883
