start	end
2017-07-12 22:33:00	2017-07-14 00:46:30
2017-07-14 01:03:30	2017-07-19 06:13:45
2017-07-23 14:37:45	2017-07-25 07:43:45
2017-07-25 08:20:30	2017-07-25 11:33:45
2017-07-25 12:04:15	2017-07-25 13:11:30
2017-07-25 13:42:00	2017-07-25 14:00:30
2017-07-25 14:13:15	2017-07-25 15:05:15
2017-07-25 15:27:15	2017-07-25 16:24:00
2017-07-25 16:50:45	2017-07-25 17:19:45
2017-07-25 17:36:30	2017-07-25 17:54:30
2017-07-25 18:05:15	2017-07-25 18:19:00
2017-07-25 18:28:30	2017-07-25 18:42:30
2017-07-25 18:52:00	2017-07-25 19:01:00
2017-07-25 19:08:00	2017-07-25 19:19:15
2017-07-25 19:24:30	2017-07-25 19:40:00
2017-07-25 19:46:45	2017-07-25 19:59:30
2017-07-25 20:06:30	2017-07-25 20:17:00
2017-07-25 20:21:30	2017-07-25 20:26:30
2017-07-25 21:01:30	2017-07-25 21:07:00
2017-07-25 21:11:15	2017-07-25 21:18:00
2017-07-25 21:23:30	2017-07-25 21:28:45
2017-07-28 08:30:15	2017-07-28 09:10:45
2017-07-28 09:40:30	2017-07-28 12:54:00
2017-07-28 13:47:30	2017-07-28 17:02:30
2017-07-28 17:54:00	2017-07-29 16:53:30
2017-07-29 17:44:30	2017-07-29 20:37:30
2017-07-29 21:10:30	2017-07-30 05:56:00
2017-07-30 06:39:00	2017-07-31 06:27:45
2017-07-31 07:15:15	2017-07-31 12:32:15
2017-07-31 13:11:30	2017-08-02 11:34:00
2017-08-02 12:00:45	2017-08-02 18:25:00
2017-08-02 18:49:30	2017-08-02 21:07:45
2017-08-02 21:27:45	2017-08-02 23:12:30
2017-08-02 23:33:30	2017-08-03 01:19:00
2017-08-03 01:36:45	2017-08-03 03:41:00
2017-08-03 04:01:30	2017-08-03 14:01:15
2017-08-03 14:02:15	2017-08-03 21:20:00
2017-08-03 21:23:45	2017-08-03 22:41:00
2017-08-03 22:42:15	2017-08-03 22:50:45
2017-08-03 22:55:15	2017-08-03 23:52:45
2017-08-04 00:00:00	2017-08-04 00:32:30
2017-08-04 00:36:15	2017-08-04 01:02:00
2017-08-04 01:25:15	2017-08-04 01:28:15
2017-08-04 01:45:45	2017-08-04 01:50:30
2017-08-04 01:58:15	2017-08-04 02:01:00
2017-08-04 02:06:30	2017-08-04 02:11:00
2017-08-04 02:22:00	2017-08-04 02:53:45
2017-08-04 03:12:00	2017-08-04 03:46:30
2017-08-04 03:58:15	2017-08-04 04:51:15
2017-08-04 05:02:15	2017-08-04 05:22:00
2017-08-04 05:52:00	2017-08-04 06:16:30
2017-08-04 06:24:15	2017-08-04 06:48:45
2017-08-04 06:58:15	2017-08-04 07:06:30
2017-08-04 07:09:45	2017-08-04 07:57:45
2017-08-04 08:08:30	2017-08-04 08:31:30
2017-08-04 09:06:45	2017-08-04 09:20:00
2017-08-04 09:30:45	2017-08-04 09:44:30
2017-08-04 10:02:30	2017-08-04 10:28:30
2017-08-04 10:36:45	2017-08-04 10:58:45
2017-08-04 11:07:15	2017-08-04 11:14:15
2017-08-04 11:37:00	2017-08-04 11:46:30
2017-08-04 11:58:00	2017-08-04 12:49:00
2017-08-04 13:05:15	2017-08-04 13:31:00
2017-08-04 13:56:45	2017-08-04 14:06:15
2017-08-04 14:14:15	2017-08-04 14:37:15
2017-08-04 14:46:15	2017-08-04 15:06:30
2017-08-04 15:15:00	2017-08-04 15:51:30
2017-08-04 16:04:45	2017-08-04 16:35:15
2017-08-04 16:48:00	2017-08-04 17:08:45
2017-08-04 17:20:00	2017-08-04 17:42:45
2017-08-04 17:53:30	2017-08-04 18:09:00
2017-08-04 18:17:15	2017-08-04 18:29:45
2017-08-04 19:26:30	2017-08-04 19:33:30
2017-08-04 19:46:00	2017-08-04 20:06:15
2017-08-04 20:14:00	2017-08-04 21:07:15
2017-08-04 21:24:15	2017-08-04 22:10:00
2017-08-04 22:25:30	2017-08-04 23:07:15
2017-08-04 23:22:00	2017-08-05 02:00:30
2017-08-05 02:19:30	2017-08-05 05:35:15
2017-08-05 05:47:30	2017-08-05 07:46:00
2017-08-05 08:35:15	2017-08-05 09:58:00
2017-08-05 10:27:45	2017-08-05 10:48:45
2017-08-05 12:46:30	2017-08-05 12:51:30
2017-08-05 13:01:45	2017-08-05 13:04:30
2017-08-05 13:48:30	2017-08-05 13:53:15
2017-08-05 14:13:15	2017-08-05 14:15:00
2017-08-05 14:40:45	2017-08-05 15:04:30
2017-08-05 15:20:45	2017-08-05 15:50:30
2017-08-05 16:29:45	2017-08-05 16:45:00
2017-08-05 20:34:15	2017-08-05 20:41:00
2017-08-05 21:52:30	2017-08-05 22:49:00
2017-08-05 23:10:00	2017-08-05 23:47:30
