StartTime,EndTime,XX,XX,XX,XX
2010.0613950723,2010.0614616627,1.0000000000,100.0000000000,0.0014155252,0.1068087353
2010.0626165334,2010.0627002474,1.0000000000,100.0000000000,0.0011548707,-0.3219154304
2010.0641956811,2010.0642613203,1.0000000000,100.0000000000,0.0014954337,0.2313504461
2010.0653962140,2010.0654628044,1.0000000000,111.0000000000,0.0011348937,-0.4237571758
2010.0670048515,2010.0670666858,1.0000000000,100.0000000000,0.0015420471,0.3873270258
2010.0681882611,2010.0682548515,1.0000000000,100.0000000000,0.0011215753,-0.5648841799
2010.0698620625,2010.0699229452,1.0000000000,100.0000000000,0.0016072110,0.5016018051
2010.0709517693,2010.0710231164,1.0000000000,100.0000000000,0.0010288241,-0.7252085480
2010.0728058408,2010.0728714803,1.0000000000,100.0000000000,0.0017827244,0.5045749375
2010.0756811263,2010.0757348745,1.0000000000,100.0000000000,0.0028096460,0.6137949818
2010.0766110159,2010.0766728501,1.0000000000,100.0000000000,0.0008761414,-1.1184140437
2010.0784308408,2010.0784917238,1.0000000000,100.0000000000,0.0017579907,0.8826737338
2010.0794325532,2010.0795048515,1.0000000000,100.0000000000,0.0009408293,-1.2353799496
2010.0812894786,2010.0813527397,1.0000000000,100.0000000000,0.0017846271,0.9330073598
2010.0822455290,2010.0823159247,1.0000000000,100.0000000000,0.0008927893,-1.2649349283
2010.0844558600,2010.0845172184,1.0000000000,100.0000000000,0.0021399353,0.1993829806
2010.0863627282,2010.0864321729,1.0000000000,100.0000000000,0.0018455099,0.1523888578
2010.0875218797,2010.0876246195,0.0000000000,0.0000000000,0.0010897068,-0.5334086995
2010.0889740296,2010.0890482307,1.0000000000,100.0000000000,0.0013494101,0.0003098635
2010.0904066781,2010.0904780252,1.0000000000,100.0000000000,0.0013584474,-0.5081076480
2010.0918645359,2010.0919125762,1.0000000000,6.0000000000,0.0013865107,-0.1495447129
2010.0934822107,2010.0935383373,1.0000000000,111.0000000000,0.0015696345,-0.4221201341
2010.0949272260,2010.0949881088,1.0000000000,6.0000000000,0.0013888888,-0.3865841137
2010.0973672945,2010.0974234208,1.0000000000,6.0000000000,0.0023791858,0.0738477099
2010.0997674088,2010.0998197299,1.0000000000,100.0000000000,0.0023439879,0.3989705974
2010.1007795852,2010.1008357115,1.0000000000,6.0000000000,0.0009598553,-0.7021812475
2010.1025000000,2010.1025508942,1.0000000000,6.0000000000,0.0016642885,0.3926097179
2010.1035145548,2010.1035782915,1.0000000000,6.0000000000,0.0009636605,-0.6562457275
2010.1052944255,2010.1053472222,1.0000000000,100.0000000000,0.0017161340,0.3876609882
2010.1063061263,2010.1063893647,1.0000000000,100.0000000000,0.0009589041,-0.5944289812
2010.1081102551,2010.1081730403,1.0000000000,100.0000000000,0.0017208904,0.3788297447
2010.1091766553,2010.1092565638,1.0000000000,100.0000000000,0.0010036151,-0.7062221301
2010.1109470129,2010.1110078956,1.0000000000,100.0000000000,0.0016904490,0.3719140508
2010.1120333904,2010.1121037860,1.0000000000,111.0000000000,0.0010254948,-0.8005395751
2010.1138684362,2010.1139274162,1.0000000000,100.0000000000,0.0017646501,0.3963002244
2010.1149700342,2010.1150423326,1.0000000000,100.0000000000,0.0010426181,-0.9904546070
