start	end
2010-09-02 02:25:30	2010-09-02 03:17:00
2010-09-03 00:14:30	2010-09-03 02:25:00
2010-09-03 17:59:00	2010-09-03 18:32:30
2010-09-04 01:02:00	2010-09-04 22:31:30
2010-09-04 23:54:00	2010-09-05 20:06:00
2010-09-06 00:24:00	2010-09-06 01:31:30
2010-09-06 02:47:00	2010-09-06 02:51:15
2010-09-06 13:13:00	2010-09-06 13:38:00
2010-09-06 14:06:30	2010-09-06 18:28:00
2010-09-06 20:02:30	2010-09-06 21:44:30
2010-09-06 23:46:45	2010-09-07 19:39:30
2010-09-08 00:55:30	2010-09-08 01:12:30
2010-09-08 13:06:15	2010-09-09 03:17:30
2010-09-09 04:19:00	2010-09-09 05:09:00
2010-09-09 14:35:00	2010-09-09 15:46:00
2010-09-09 16:28:30	2010-09-09 19:49:30
2010-09-10 01:00:00	2010-09-10 19:19:00
2010-10-09 15:43:15	2010-10-09 15:47:15
2010-10-10 15:39:00	2010-10-10 15:43:00
2015-07-04 23:25:00	2015-07-09 05:30:30
2015-07-09 06:03:45	2015-07-09 06:51:00
2015-07-09 07:08:00	2015-07-09 07:21:30
2015-07-09 07:28:45	2015-07-09 07:42:30
2015-07-09 07:47:30	2015-07-09 08:04:45
2015-07-09 08:09:30	2015-07-09 08:22:15
2015-07-09 08:25:30	2015-07-09 08:34:15
2015-07-09 08:37:45	2015-07-09 08:44:00
2015-07-09 08:45:45	2015-07-09 08:51:30
2015-07-09 08:53:00	2015-07-09 08:59:30
2015-07-09 09:01:15	2015-07-09 09:06:15
2015-07-09 09:07:45	2015-07-09 09:13:00
2015-07-09 09:14:00	2015-07-09 09:18:30
2015-07-09 09:35:15	2015-07-09 09:39:00
2015-07-09 09:39:15	2015-07-09 09:44:00
2015-07-09 09:45:00	2015-07-09 09:48:00
2015-07-09 09:54:30	2015-07-09 09:55:15
2015-07-09 09:56:30	2015-07-09 10:00:30
2015-07-09 10:00:30	2015-07-09 10:04:15
2015-07-09 10:11:30	2015-07-09 10:13:15
2015-07-09 10:15:15	2015-07-09 10:19:15
2015-07-09 10:21:15	2015-07-09 10:21:45
