start	end
2018-06-07 23:59:30	2018-06-08 17:02:15
2018-06-26 19:40:15	2018-07-02 14:58:30
2018-07-02 22:25:45	2018-07-11 18:56:30
2018-07-11 23:04:00	2018-07-12 13:04:00
2018-07-12 16:08:00	2018-07-13 21:52:15
2018-07-14 04:30:30	2018-07-17 13:24:00
2018-07-17 16:45:00	2018-07-22 14:12:15
2018-07-23 12:41:45	2018-08-06 02:33:30
2018-08-06 04:23:15	2018-08-06 05:15:15
2018-08-06 09:00:30	2018-08-07 07:31:00
2018-08-07 16:03:45	2018-08-12 19:52:00
2018-08-14 22:35:00	2018-09-02 20:43:30
2018-09-04 13:40:00	2018-09-06 02:19:45
2018-09-06 10:21:00	2018-09-06 12:54:00
2018-09-06 15:44:00	2018-09-07 21:18:00
2018-09-08 01:45:45	2018-09-08 02:12:45
2018-09-08 02:14:15	2018-09-08 11:16:15
2018-09-08 14:07:45	2018-09-08 22:07:15
2018-09-09 01:18:15	2018-09-09 22:31:30
2018-09-10 03:00:45	2018-09-10 20:11:15
2018-09-11 04:06:15	2018-09-11 19:43:00
2018-09-12 03:35:00	2018-09-12 19:34:30
2018-09-13 03:07:30	2018-09-13 21:45:30
2018-09-13 23:58:45	2018-09-14 18:58:30
2018-09-15 04:51:30	2018-09-15 19:41:00
2018-09-16 00:24:30	2018-09-16 21:26:00
2018-09-16 21:52:00	2018-09-16 22:07:00
2018-09-16 23:22:30	2018-09-16 23:35:30
2018-09-16 23:55:15	2018-09-17 00:05:30
2018-09-17 00:26:30	2018-09-17 00:53:45
2018-09-17 01:12:00	2018-09-17 10:53:30
2018-09-17 11:40:45	2018-09-17 12:07:45
2018-09-17 12:33:15	2018-09-17 13:42:15
2018-09-17 14:12:45	2018-09-17 16:25:45
2018-09-17 18:16:00	2018-09-17 19:40:45
2018-09-18 03:37:45	2018-09-18 13:28:30
2018-09-19 05:56:00	2018-09-19 06:15:15
2018-09-23 14:32:45	2018-09-23 15:42:30
2018-09-23 15:43:30	2018-09-23 17:06:30
2018-09-28 10:56:30	2018-09-28 15:53:30
2018-09-29 09:21:30	2018-09-29 15:13:00
2018-09-29 15:14:00	2018-09-29 16:10:45
2018-10-04 10:55:00	2018-10-04 11:04:30
