time	gz14x	start
2013-05-07 00:52:30	0.0	2013-05-07 02:24:30
2013-05-07 00:52:45	-0.013005541870370507	2013-05-07 02:24:30
2013-05-07 00:53:00	-1.5020195860415697e-05	2013-05-07 02:24:30
2013-05-07 00:53:15	-0.0017441700911149383	2013-05-07 02:24:30
2013-05-07 00:53:30	-0.004159862641245127	2013-05-07 02:24:30
2013-05-07 00:53:45	-0.00012587851961143315	2013-05-07 02:24:30
2013-05-07 00:54:00	-0.003221127815777436	2013-05-07 02:24:30
2013-05-07 00:54:15	-0.0055968271917663515	2013-05-07 02:24:30
2013-05-07 00:54:30	-0.009058094990905374	2013-05-07 02:24:30
2013-05-07 00:54:45	-0.002008848503464833	2013-05-07 02:24:30
2013-05-07 00:55:00	-0.00435175682650879	2013-05-07 02:24:30
2013-05-07 00:55:15	0.0038829145196359605	2013-05-07 02:24:30
2013-05-07 00:55:30	-0.0022826113272458315	2013-05-07 02:24:30
2013-05-07 00:55:45	-0.007616678485646844	2013-05-07 02:24:30
2013-05-07 00:56:00	-0.002230566053185612	2013-05-07 02:24:30
2013-05-07 00:56:15	0.0034667696454562247	2013-05-07 02:24:30
2013-05-07 00:56:30	0.002808782854117453	2013-05-07 02:24:30
2013-05-07 00:56:45	-0.0001588868908584118	2013-05-07 02:24:30
2013-05-07 00:57:00	-4.506006371229887e-05	2013-05-07 02:24:30
2013-05-07 00:57:15	-0.0019809072255156934	2013-05-07 02:24:30
2013-05-07 00:57:30	0.0045256637677084655	2013-05-07 02:24:30
2013-05-07 00:57:45	-0.0011179251305293292	2013-05-07 02:24:30
2013-05-07 00:58:00	0.0005386584962252527	2013-05-07 02:24:30
2013-05-07 00:58:15	0.006542764633195475	2013-05-07 02:24:30
2013-05-07 00:58:30	-0.0008371769799850881	2013-05-07 02:24:30
2013-05-07 00:58:45	-0.005077641049865633	2013-05-07 02:24:30
2013-05-07 00:59:00	-0.004620018269633874	2013-05-07 02:24:30
2013-05-07 00:59:15	-4.951193113811314e-05	2013-05-07 02:24:30
2013-05-07 00:59:30	-0.006535562133649364	2013-05-07 02:24:30
2013-05-07 00:59:45	-0.0052147396199870855	2013-05-07 02:24:30
2013-05-07 01:00:00	-0.005827231419971213	2013-05-07 02:24:30
2013-05-07 01:00:15	-0.008392291871132329	2013-05-07 02:24:30
2013-05-07 01:00:30	-0.00029598516994155943	2013-05-07 02:24:30
2013-05-07 01:00:45	-0.013423605356365442	2013-05-07 02:24:30
2013-05-07 01:01:00	-0.004600981221301481	2013-05-07 02:24:30
2013-05-07 01:01:15	-0.008745605940930545	2013-05-07 02:24:30
2013-05-07 01:01:30	-0.0048078951658681035	2013-05-07 02:24:30
2013-05-07 01:01:45	-0.008327542105689645	2013-05-07 02:24:30
2013-05-07 01:02:00	-0.005153175297891721	2013-05-07 02:24:30
2013-05-07 01:02:15	-0.009933564579114318	2013-05-07 02:24:30
2013-05-07 01:02:30	-0.008401810191571712	2013-05-07 02:24:30
2013-05-07 01:02:45	-0.002297848608577624	2013-05-07 02:24:30
2013-05-07 01:03:00	-0.006640919164055958	2013-05-07 02:24:30
2013-05-07 01:03:15	0.000253675680141896	2013-05-07 02:24:30
2013-05-07 01:03:30	-0.0019606033456511796	2013-05-07 02:24:30
2013-05-07 01:03:45	-0.001290782238356769	2013-05-07 02:24:30
2013-05-07 01:04:00	0.0024704881361685693	2013-05-07 02:24:30
2013-05-07 01:04:15	-0.0004656573000829667	2013-05-07 02:24:30
2013-05-07 01:04:30	-0.0011782220972236246	2013-05-07 02:24:30
2013-05-07 01:04:45	0.0005401427624747157	2013-05-07 02:24:30
2013-05-07 01:05:00	-0.000589002767810598	2013-05-07 02:24:30
2013-05-07 01:05:15	0.0030789630254730582	2013-05-07 02:24:30
2013-05-07 01:05:30	-0.0003670677251648158	2013-05-07 02:24:30
2013-05-07 01:05:45	0.0039789707225281745	2013-05-07 02:24:30
2013-05-07 01:06:00	0.002449966996209696	2013-05-07 02:24:30
2013-05-07 01:06:15	-0.0011246929643675685	2013-05-07 02:24:30
2013-05-07 01:06:30	0.002003347413847223	2013-05-07 02:24:30
2013-05-07 01:06:45	-0.004806194163393229	2013-05-07 02:24:30
2013-05-07 01:07:00	-0.002422243298497051	2013-05-07 02:24:30
2013-05-07 01:07:15	-0.0073329627339262515	2013-05-07 02:24:30
2013-05-07 01:07:30	-0.006117715412983671	2013-05-07 02:24:30
2013-05-07 01:07:45	-0.00837006903020665	2013-05-07 02:24:30
2013-05-07 01:08:00	-0.006114746996900067	2013-05-07 02:24:30
2013-05-07 01:08:15	-0.00020416398183442652	2013-05-07 02:24:30
2013-05-07 01:08:30	-0.00474611425306648	2013-05-07 02:24:30
2013-05-07 01:08:45	-0.007533941883593798	2013-05-07 02:24:30
2013-05-07 01:09:00	-0.005155708990059793	2013-05-07 02:24:30
2013-05-07 01:09:15	-0.0041526599088683724	2013-05-07 02:24:30
2013-05-07 01:09:30	-0.005261283251456916	2013-05-07 02:24:30
2013-05-07 01:09:45	-0.0018787354638334364	2013-05-07 02:24:30
2013-05-07 01:10:00	-0.004309012700105086	2013-05-07 02:24:30
2013-05-07 01:10:15	-0.009084117918973789	2013-05-07 02:24:30
2013-05-07 01:10:30	-0.005943591240793467	2013-05-07 02:24:30
