time	la06x	start
2013-04-28 02:41:15	0.0	2013-04-28 04:23:45
2013-04-28 02:41:30	0.004274860373698175	2013-04-28 04:23:45
2013-04-28 02:41:45	0.0010706456960178912	2013-04-28 04:23:45
2013-04-28 02:42:00	0.006699388846755028	2013-04-28 04:23:45
2013-04-28 02:42:15	0.001544728351291269	2013-04-28 04:23:45
2013-04-28 02:42:30	-0.0007639093673788011	2013-04-28 04:23:45
2013-04-28 02:42:45	0.00028588162967935205	2013-04-28 04:23:45
2013-04-28 02:43:00	0.0037677130312658846	2013-04-28 04:23:45
2013-04-28 02:43:15	0.0032434751046821475	2013-04-28 04:23:45
2013-04-28 02:43:30	0.003499677812214941	2013-04-28 04:23:45
2013-04-28 02:43:45	-0.005210256553255022	2013-04-28 04:23:45
2013-04-28 02:44:00	0.0006961034960113466	2013-04-28 04:23:45
2013-04-28 02:44:15	-0.010516684036701918	2013-04-28 04:23:45
2013-04-28 02:44:30	9.91769484244287e-05	2013-04-28 04:23:45
2013-04-28 02:44:45	0.0149711151025258	2013-04-28 04:23:45
2013-04-28 02:45:00	0.0048135604010894895	2013-04-28 04:23:45
2013-04-28 02:45:15	0.004382863233331591	2013-04-28 04:23:45
2013-04-28 02:45:30	0.005781642685178667	2013-04-28 04:23:45
2013-04-28 02:45:45	0.0056740177678875625	2013-04-28 04:23:45
2013-04-28 02:46:00	0.005805685766972601	2013-04-28 04:23:45
2013-04-28 02:46:15	0.0006698087672702968	2013-04-28 04:23:45
2013-04-28 02:46:30	0.0033851012121886015	2013-04-28 04:23:45
2013-04-28 02:46:45	0.007891366549301893	2013-04-28 04:23:45
2013-04-28 02:47:00	0.004182634118478745	2013-04-28 04:23:45
2013-04-28 02:47:15	0.007516642916016281	2013-04-28 04:23:45
2013-04-28 02:47:30	0.00013636710355058312	2013-04-28 04:23:45
2013-04-28 02:47:45	0.001136759005021304	2013-04-28 04:23:45
2013-04-28 02:48:00	0.0044266265467740595	2013-04-28 04:23:45
