	time	la01x	la01y	la01res	la05x	la05y	la05res	ressum	event
10725	2010-12-31 20:41:15	-283557.00604683324	-560187.8646126699	0.2910662415626817	-231686.754505053	-585204.1233252372	0.5148234352756044	0.805889676838286	1.0
10726	2010-12-31 20:41:30	-283557.0013544411	-560187.8585103585	0.2910662415626817	-231686.7502886027	-585204.1145817216	0.5148234352756044	0.805889676838286	1.0
10727	2010-12-31 20:41:45	-283556.9970523996	-560187.8562796684	0.2910662415626817	-231686.7525142633	-585204.1117481586	0.5148234352756044	0.805889676838286	1.0
10728	2010-12-31 20:42:00	-283557.0002171529	-560187.860442436	0.2910662415626817	-231686.7555750471	-585204.1154173892	0.5148234352756044	0.805889676838286	1.0
10729	2010-12-31 20:42:15	-283557.00056753296	-560187.8700989982	0.2910662415626817	-231686.75089975918	-585204.1250780021	0.5148234352756044	0.805889676838286	1.0
10730	2010-12-31 20:42:30	-283557.0007670787	-560187.8628768788	0.2910662415626817	-231686.75874631276	-585204.1151380647	0.5148234352756044	0.805889676838286	1.0
10731	2010-12-31 20:42:45	-283556.9995756251	-560187.8539851571	0.2910662415626817	-231686.759972629	-585204.1136763531	0.5148234352756044	0.805889676838286	1.0
10732	2010-12-31 20:43:00	-283556.99892972433	-560187.8566858034	0.2910662415626817	-231686.75413956132	-585204.1185889199	0.5148234352756044	0.805889676838286	1.0
10733	2010-12-31 20:43:15	-283557.0047985298	-560187.8547324211	0.2910662415626817	-231686.75920871232	-585204.1136533918	0.5148234352756044	0.805889676838286	1.0
10734	2010-12-31 20:43:30	-283557.0001272378	-560187.8570969449	0.2910662415626817	-231686.7562623053	-585204.1141690962	0.5148234352756044	0.805889676838286	1.0
10735	2010-12-31 20:43:45	-283557.0023991311	-560187.863068065	0.2910662415626817	-231686.7583322005	-585204.1179052257	0.5148234352756044	0.805889676838286	1.0
10736	2010-12-31 20:44:00	-283557.00006279274	-560187.8530603594	0.2910662415626817	-231686.75751821647	-585204.1081400499	0.5148234352756044	0.805889676838286	1.0
10737	2010-12-31 20:44:15	-283556.9991682447	-560187.8541913657	0.2910662415626817	-231686.75605469156	-585204.1025368468	0.5148234352756044	0.805889676838286	1.0
10738	2010-12-31 20:44:30	-283557.0020801302	-560187.8550911247	0.2910662415626817	-231686.75803313116	-585204.1072853891	0.5148234352756044	0.805889676838286	1.0
10739	2010-12-31 20:44:45	-283556.9895397265	-560187.8533004378	0.2910662415626817	-231686.74733407298	-585204.107616413	0.5148234352756044	0.805889676838286	1.0
10740	2010-12-31 20:45:00	-283556.99929644185	-560187.8510745682	0.2910662415626817	-231686.7576507274	-585204.1051589765	0.5148234352756044	0.805889676838286	1.0
10741	2010-12-31 20:45:15	-283556.9948432635	-560187.853667788	0.2910662415626817	-231686.75385106096	-585204.1063378918	0.5148234352756044	0.805889676838286	1.0
10742	2010-12-31 20:45:30	-283556.99604346097	-560187.8442436558	0.2910662415626817	-231686.75636889253	-585204.1020870518	0.5148234352756044	0.805889676838286	1.0
10743	2010-12-31 20:45:45	-283556.998047143	-560187.8517069408	0.2910662415626817	-231686.7528266829	-585204.1028386361	0.5148234352756044	0.805889676838286	1.0
10744	2010-12-31 20:46:00	-283556.99997203256	-560187.8493761937	0.2910662415626817	-231686.75477163246	-585204.1040210231	0.5148234352756044	0.805889676838286	1.0
10745	2010-12-31 20:46:15	-283557.0003318476	-560187.8519068673	0.2910662415626817	-231686.7519857746	-585204.1103303857	0.5148234352756044	0.805889676838286	1.0
10746	2010-12-31 20:46:30	-283557.00032593956	-560187.8495361534	0.2910662415626817	-231686.75221063296	-585204.1105667641	0.5148234352756044	0.805889676838286	1.0
10747	2010-12-31 20:46:45	-283557.0070747942	-560187.8515456137	0.2910662415626817	-231686.75871404703	-585204.1070158093	0.5148234352756044	0.805889676838286	1.0
10748	2010-12-31 20:47:00	-283557.0041629082	-560187.8506458538	0.2910662415626817	-231686.75362620287	-585204.1061015131	0.5148234352756044	0.805889676838286	1.0
10749	2010-12-31 20:47:15	-283557.00307402946	-560187.8501797231	0.2910662415626817	-231686.755230695	-585204.1074186913	0.5148234352756044	0.805889676838286	1.0
10750	2010-12-31 20:47:30	-283557.00364773755	-560187.8512457248	0.34325119760430645	-231686.75665561113	-585204.1058783511	0.6085496757584394	0.9518008733627459	1.0
10751	2010-12-31 20:47:45	-283557.00134347	-560187.854107606	0.34325119760430645	-231686.7557803227	-585204.1055740825	0.6085496757584394	0.9518008733627459	1.0
10752	2010-12-31 20:48:00	-283556.99871667457	-560187.8584891473	0.34325119760430645	-231686.75461164006	-585204.1112431929	0.6085496757584394	0.9518008733627459	1.0
10753	2010-12-31 20:48:15	-283557.0025043897	-560187.8616583825	0.34325119760430645	-231686.75539725265	-585204.1210195997	0.6085496757584394	0.9518008733627459	1.0
10754	2010-12-31 20:48:30	-283556.9999914444	-560187.8571656812	0.34325119760430645	-231686.75258035277	-585204.1146506055	0.6085496757584394	0.9518008733627459	1.0
10755	2010-12-31 20:48:45	-283556.99978867423	-560187.8521818118	0.34325119760430645	-231686.75269383867	-585204.1146056756	0.6085496757584394	0.9518008733627459	1.0
10756	2010-12-31 20:49:00	-283556.9990876118	-560187.8545712784	0.34325119760430645	-231686.75142557695	-585204.1138061848	0.6085496757584394	0.9518008733627459	1.0
10757	2010-12-31 20:49:15	-283557.00282185385	-560187.8581066817	0.34325119760430645	-231686.7496085773	-585204.1190811653	0.6085496757584394	0.9518008733627459	1.0
