time	grad2	ev_time
2013-03-12 10:05:45	-0.022089896241422817	2013-03-12 10:42:30
2013-03-12 10:06:00	-0.024337617619229878	2013-03-12 10:42:30
2013-03-12 10:06:15	-0.025839906804406388	2013-03-12 10:42:30
2013-03-12 10:06:30	-0.026589865489446984	2013-03-12 10:42:30
2013-03-12 10:06:45	-0.026600696729169853	2013-03-12 10:42:30
2013-03-12 10:07:00	-0.025904366874340806	2013-03-12 10:42:30
2013-03-12 10:07:15	-0.02454960321857205	2013-03-12 10:42:30
2013-03-12 10:07:30	-0.022599368596565816	2013-03-12 10:42:30
2013-03-12 10:07:45	-0.020127981518977236	2013-03-12 10:42:30
2013-03-12 10:08:00	-0.017218064878044382	2013-03-12 10:42:30
2013-03-12 10:08:15	-0.013957506195940314	2013-03-12 10:42:30
2013-03-12 10:08:30	-0.01043659743689262	2013-03-12 10:42:30
2013-03-12 10:08:45	-0.0067454936492373704	2013-03-12 10:42:30
2013-03-12 10:09:00	-0.0029720897697692677	2013-03-12 10:42:30
2013-03-12 10:09:15	0.0007996321656678642	2013-03-12 10:42:30
2013-03-12 10:09:30	0.004490782374781772	2013-03-12 10:42:30
2013-03-12 10:09:45	0.008028312134893672	2013-03-12 10:42:30
2013-03-12 10:10:00	0.011345412499055586	2013-03-12 10:42:30
2013-03-12 10:10:15	0.014381668610623032	2013-03-12 10:42:30
2013-03-12 10:10:30	0.017083085867230823	2013-03-12 10:42:30
2013-03-12 10:10:45	0.019402099680415705	2013-03-12 10:42:30
2013-03-12 10:11:00	0.02129766251728335	2013-03-12 10:42:30
2013-03-12 10:11:15	0.022735473393889035	2013-03-12 10:42:30
2013-03-12 10:11:30	0.02368838015863342	2013-03-12 10:42:30
2013-03-12 10:11:45	0.024136948301562936	2013-03-12 10:42:30
2013-03-12 10:12:00	0.024070155979854214	2013-03-12 10:42:30
2013-03-12 10:12:15	0.02348614708071189	2013-03-12 10:42:30
2013-03-12 10:12:30	0.02239295504328821	2013-03-12 10:42:30
2013-03-12 10:12:45	0.020809101251310247	2013-03-12 10:42:30
2013-03-12 10:13:00	0.018763973335105783	2013-03-12 10:42:30
2013-03-12 10:13:15	0.01629789987304994	2013-03-12 10:42:30
2013-03-12 10:13:30	0.013461857086239447	2013-03-12 10:42:30
